zip,population,city,county,state
77488,14832,Wharton,Wharton,TX
76207,14794,Denton,Denton,TX
78580,14734,Raymondville,Willacy,TX
76643,14705,Hewitt,Mclennan,TX
77445,14629,Hempstead,Waller,TX
79108,14580,Amarillo,Potter,TX
75418,14570,Bonham,Fannin,TX
75209,14558,Dallas,Dallas,TX
77032,14351,Houston,Harris,TX
75143,14336,Kemp,Kaufman,TX
78861,14318,Hondo,Medina,TX
75773,14305,Mineola,Wood,TX
77078,14267,Houston,Harris,TX
79772,14265,Pecos,Reeves,TX
78405,14224,Corpus Christi,Nueces,TX
76550,14169,Lampasas,Lampasas,TX
78669,14038,Spicewood,Travis,TX
77701,14005,Beaumont,Jefferson,TX
78557,13984,Hidalgo,Hidalgo,TX
78676,13981,Wimberley,Hays,TX
77422,13965,Brazoria,Brazoria,TX
75791,13952,Whitehouse,Smith,TX
76022,13945,Bedford,Tarrant,TX
78163,13937,Bulverde,Comal,TX
79007,13936,Borger,Hutchinson,TX
75644,13883,Gilmer,Upshur,TX
77713,13867,Beaumont,Jefferson,TX
78248,13822,San Antonio,Bexar,TX
78559,13733,La Feria,Cameron,TX
75762,13703,Flint,Smith,TX
75757,13641,Bullard,Smith,TX
79735,13636,Fort Stockton,Pecos,TX
76164,13628,Fort Worth,Tarrant,TX
75244,13552,Dallas,Dallas,TX
76309,13546,Wichita Falls,Wichita,TX
75686,13483,Pittsburg,Camp,TX
78642,13408,Liberty Hill,Williamson,TX
76367,13385,Iowa Park,Wichita,TX
77474,13347,Sealy,Austin,TX
78726,13304,Austin,Travis,TX
78076,13279,Zapata,Zapata,TX
77423,13210,Brookshire,Waller,TX
75707,13206,Tyler,Smith,TX
77703,13134,Beaumont,Jefferson,TX
75054,13045,Grand Prairie,Dallas,TX
76450,13036,Graham,Young,TX
75065,13026,Lake Dallas,Denton,TX
75935,12994,Center,Shelby,TX
75169,12937,Wills Point,Van Zandt,TX
78121,12901,La Vernia,Wilson,TX
76302,12867,Wichita Falls,Wichita,TX
78204,12850,San Antonio,Bexar,TX
75633,12831,Carthage,Panola,TX
76905,12746,San Angelo,Tom Green,TX
77651,12729,Port Neches,Jefferson,TX
76426,12694,Bridgeport,Wise,TX
79556,12683,Sweetwater,Nolan,TX
78629,12612,Gonzales,Gonzales,TX
76088,12610,Weatherford,Parker,TX
75979,12579,Woodville,Tyler,TX
78061,12566,Pearsall,Frio,TX
