zip,population,city,county,state
30750,4148,Lookout Mountain,Walker,GA
30139,4147,Fairmount,Gordon,GA
30222,4101,Greenville,Meriwether,GA
30571,4069,Sautee Nacoochee,White,GA
30257,4024,Milner,Lamar,GA
31089,4021,Tennille,Washington,GA
31650,3999,Willacoochee,Atkinson,GA
31815,3949,Lumpkin,Stewart,GA
30828,3927,Warrenton,Warren,GA
31301,3906,Allenhurst,Liberty,GA
30833,3888,Wrens,Jefferson,GA
30079,3846,Scottdale,Dekalb,GA
30511,3831,Baldwin,Banks,GA
31098,3809,Warner Robins,Houston,GA
30445,3797,Mount Vernon,Montgomery,GA
30055,3788,Mansfield,Jasper,GA
30206,3763,Concord,Pike,GA
30711,3757,Crandall,Murray,GA
30527,3701,Clermont,Hall,GA
30564,3696,Murrayville,Hall,GA
31046,3694,Juliette,Monroe,GA
30259,3674,Moreland,Coweta,GA
31037,3584,Helena,Telfair,GA
31647,3571,Sparks,Cook,GA
30567,3565,Pendergrass,Jackson,GA
30738,3509,Rising Fawn,Dade,GA
30663,3463,Rutledge,Morgan,GA
31519,3462,Broxton,Coffee,GA
31328,3419,Tybee Island,Chatham,GA
30734,3418,Ranger,Gordon,GA
31557,3316,Patterson,Pierce,GA
31626,3274,Boston,Thomas,GA
31002,3267,Adrian,Emanuel,GA
30547,3266,Homer,Banks,GA
31078,3203,Roberta,Crawford,GA
31606,3196,Valdosta,Lowndes,GA
30182,3178,Waco,Haralson,GA
30258,3165,Molena,Pike,GA
30332,3162,Atlanta,Fulton,GA
30205,3147,Brooks,Fayette,GA
30602,3127,Athens,Clarke,GA
31775,3121,Omega,Tift,GA
30576,3104,Tiger,Rabun,GA
31801,3068,Box Springs,Talbot,GA
30124,3048,Cave Spring,Floyd,GA
30648,3028,Lexington,Oglethorpe,GA
30178,3024,Taylorsville,Bartow,GA
30624,3016,Bowman,Elbert,GA
31044,2986,Jeffersonville,Twiggs,GA
30170,2986,Roopville,Carroll,GA
30669,2959,Union Point,Greene,GA
31831,2951,Waverly Hall,Harris,GA
30421,2945,Collins,Tattnall,GA
31018,2906,Davisboro,Washington,GA
30171,2893,Rydal,Bartow,GA
31076,2867,Reynolds,Taylor,GA
31075,2834,Rentz,Laurens,GA
30256,2819,Meansville,Pike,GA
31716,2817,Baconton,Mitchell,GA
31560,2806,Screven,Wayne,GA
30428,2804,Glenwood,Wheeler,GA
30538,2799,Eastanollee,Stephens,GA
31805,2790,Cusseta,Chattahoochee,GA
30477,2779,Wadley,Jefferson,GA
31749,2764,Enigma,Berrien,GA
31744,2763,Doerun,Colquitt,GA
31637,2726,Lenox,Cook,GA
31079,2705,Rochelle,Wilcox,GA
31012,2703,Chester,Dodge,GA
30731,2655,Menlo,Chattooga,GA
31542,2645,Hoboken,Brantley,GA
30516,2634,Bowersville,Hart,GA
31019,2622,Dexter,Laurens,GA
31549,2590,Lumber City,Telfair,GA
30625,2582,Buckhead,Morgan,GA
31765,2577,Meigs,Thomas,GA
30056,2518,Newborn,Newton,GA
30473,2504,Uvalda,Montgomery,GA
30627,2490,Carlton,Madison,GA
31807,2489,Ellerslie,Harris,GA
30293,2482,Woodbury,Meriwether,GA
31825,2471,Richland,Stewart,GA
30555,2443,Mc Caysville,Fannin,GA
31555,2428,Odum,Wayne,GA
30630,2407,Crawford,Oglethorpe,GA
30805,2397,Blythe,Richmond,GA
30609,2394,Athens,Clarke,GA
31830,2354,Warm Springs,Meriwether,GA
31303,2348,Clyo,Effingham,GA
30322,2308,Atlanta,Dekalb,GA
31033,2287,Haddock,Jones,GA
31778,2262,Pavo,Thomas,GA
31565,2236,Waverly,Camden,GA
31738,2232,Coolidge,Thomas,GA
31790,2181,Sycamore,Turner,GA
30733,2171,Plainville,Gordon,GA
31827,2152,Talbotton,Talbot,GA
30634,2148,Dewy Rose,Elbert,GA
30456,2146,Sardis,Burke,GA
30218,2134,Gay,Meriwether,GA
30757,2131,Wildwood,Dade,GA
30118,2118,Carrollton,Carroll,GA
30216,2112,Flovilla,Butts,GA
30810,2096,Gibson,Glascock,GA
31781,2084,Poulan,Worth,GA
31826,2065,Shiloh,Harris,GA
30137,2060,Emerson,Bartow,GA
31060,2056,Milan,Telfair,GA
31057,2048,Marshallville,Macon,GA
31622,2021,Alapaha,Berrien,GA
30816,2018,Keysville,Burke,GA
31780,1990,Plains,Sumter,GA
30149,1966,Mount Berry,Floyd,GA
30105,1947,Armuchee,Floyd,GA
30730,1902,Lyerly,Chattooga,GA
30450,1882,Portal,Bulloch,GA
30251,1882,Luthersville,Meriwether,GA
30641,1859,Good Hope,Walton,GA
31764,1844,Leslie,Sumter,GA
30668,1836,Tignall,Wilkes,GA
31016,1832,Culloden,Monroe,GA
30410,1821,Ailey,Montgomery,GA
31795,1808,Ty Ty,Tift,GA
31641,1805,Naylor,Lowndes,GA
30441,1803,Midville,Burke,GA
31058,1798,Mauk,Taylor,GA
31049,1769,Kite,Johnson,GA
30177,1759,Tate,Pickens,GA
31077,1723,Rhine,Dodge,GA
31512,1681,Ambrose,Coffee,GA
31097,1681,Yatesville,Upson,GA
